"TYPE_CODE","MANUFACTURER","MODEL","ENGINE_TYPE"
"FA62","FLEET","Cornell","Piston"
"FLE7","FLEET","Fawn","Piston"
"FINC","FLEET","Finch","Piston"
"FORT","FLEET","Fort","Piston"
"FA62","FLEET","PT-23 Cornell","Piston"
"FA62","FLEET","PT-26 Cornell","Piston"
"FWSB","FLEETWINGS","F-4 Sea Bird","Piston"
"FWSB","FLEETWINGS","Sea Bird","Piston"
"FU24","FLETCHER","FU-24","Piston"
"FDCT","FLIGHT DESIGN","CT","Piston"
"FDMC","FLIGHT DESIGN","MC","Piston"
"FDF2","FLIGHT DESIGN","F-2","Piston"
"FD2E","FLIGHT DESIGN","F-2e","Electric"
"KL10","FLIGHT DESIGN-VESSEL","KLA-100","Piston"
"PL12","FLIGHT ENGINEERS","Airtruk","Piston"
"PL12","FLIGHT ENGINEERS","PL-12 Airtruk","Piston"
"CAPL","FLIGHTWORKS","Capella","Piston"
"FLIZ","FLITZER","Flitzer","Piston"
"FLIZ","FLITZER","Z-1 Flitzer","Piston"
"FLIZ","FLITZER","Z-21 Flitzer","Piston"
"OPCA","FLS","OA-7 Optica","Piston"
"OPCA","FLS","Optica","Piston"
"SAH1","FLS","Sprint","Piston"
"KRIC","FLSZ","Der Kricket","Piston"
"KRIC","FLSZ","DK-1 Der Kricket","Piston"
"FW90","FLUG WERK","Fw-190 Replica","Piston"
"STCH","FLY SYNTHESIS","Storch","Piston"
"TEXA","FLY SYNTHESIS","Texan","Piston"
"WLBY","FLY SYNTHESIS","Wallaby","Piston"
"SYNC","FLY SYNTHESIS","Syncro","Piston"
"CTLN","FLY SYNTHESIS","Catalina","Piston"
"FLSS","FLYER","Flyer SS","Piston"
"FLSS","FLYER","Flyer NG","Piston"
"PELI","FLYER","Pelican","Piston"
"LN3","FLYGFABRIKEN","LN-3 Seagull","Piston"
"LN3","FLYGFABRIKEN","Seagull","Piston"
"TUCR","FLYING LEGEND","Tucano Replica","Piston"
"TUCT","FLYING LEGEND","Turbine Tucano Replica","Turboprop/Turboshaft"
"FM25","FLYING MACHINES","Vampire","Piston"
"FM25","FLYING MACHINES","FM-250 Vampire","Piston"
"MD3R","FLYITALIA","MD-3 Rider","Piston"
"MD3R","FLYITALIA","Rider","Piston"
"FW02","FLYWHALE","FW-02 Flywhale","Piston"
"FW02","FLYWHALE","Flywhale","Piston"
"EBOY","FMA","20 El Boyero","Piston"
"EBOY","FMA","El Boyero","Piston"
"C150","FMA","A-150","Piston"
"C182","FMA","A-182","Piston"
"C150","FMA","A-A150 Aerobat","Piston"
"C188","FMA","A-A188 AgTruck","Piston"
"C150","FMA","Aerobat","Piston"
"C188","FMA","AgTruck","Piston"
"FW44","FMA","Fw-44 Stieglitz","Piston"
"IA51","FMA","IA-51 Tehuelche","Piston"
"IA58","FMA","IA-58 Pucará","Turboprop/Turboshaft"
"IA63","FMA","IA-63 Pampa","Jet"
"C172","FMA","P-172","Piston"
"IA63","FMA","Pampa","Jet"
"IA58","FMA","Pucará","Turboprop/Turboshaft"
"FW44","FMA","Stieglitz","Piston"
"IA51","FMA","Tehuelche","Piston"
"IA63","FMA","AT-63 Pampa","Jet"
"QALT","FMP","Qualt","Piston"
"FW44","FOCKE-WULF","Fw-44 Stieglitz","Piston"
"FW90","FOCKE-WULF","Fw-190 Replica","Piston"
"P149","FOCKE-WULF","FWP-149","Piston"
"FW44","FOCKE-WULF","Stieglitz","Piston"
"F50","FOKKER","50","Turboprop/Turboshaft"
"F50","FOKKER","50 Fokker50Freighter","Turboprop/Turboshaft"
"F50","FOKKER","50 Maritime Enforcer","Turboprop/Turboshaft"
"F60","FOKKER","60","Turboprop/Turboshaft"
"F70","FOKKER","70","Jet"
"F100","FOKKER","100","Jet"
"F27","FOKKER","C-31 Friendship","Turboprop/Turboshaft"
"D7","FOKKER","D-7 Replica","Piston"
"D8","FOKKER","D-8 Replica","Piston"
"DR1","FOKKER","Dr-1 Replica","Piston"
"F16","FOKKER","F-16 Fighting Falcon","Jet"
"F27","FOKKER","F-27 Friendship","Turboprop/Turboshaft"
"F27","FOKKER","F-27 Maritime","Turboprop/Turboshaft"
"F27","FOKKER","F-27 Troopship","Turboprop/Turboshaft"
"F28","FOKKER","F-28 Fellowship","Jet"
"F28","FOKKER","Fellowship","Jet"
"F16","FOKKER","Fighting Falcon","Jet"
"F50","FOKKER","Fokker50Freighter","Turboprop/Turboshaft"
"F27","FOKKER","Friendship","Turboprop/Turboshaft"
"S11","FOKKER","Instructor","Piston"
"F27","FOKKER","Maritime","Turboprop/Turboshaft"
"F50","FOKKER","Maritime Enforcer","Turboprop/Turboshaft"
"S11","FOKKER","S-11 Instructor","Piston"
"SUNV","FOKKER","Super Universal","Piston"
"F27","FOKKER","Troopship","Turboprop/Turboshaft"
"D21","FOKKER","D-21 Replica","Piston"
"GNAT","FOLLAND","Fo-144 Gnat","Jet"
"GNAT","FOLLAND","Gnat","Jet"
"TRIM","FORD","4-AT Tri-Motor","Piston"
"TRIM","FORD","5-AT Tri-Motor","Piston"
"TRIM","FORD","Tri-Motor","Piston"
"ERCO","FORNAIRE","Aircoupe","Piston"
"ERCO","FORNAIRE","F-1 Aircoupe","Piston"
"ERCO","FORNEY","Aircoupe","Piston"
"ERCO","FORNEY","F-1 Aircoupe","Piston"
"FOUG","FOUGA","CM-170R Magister","Jet"
"FOUG","FOUGA","Magister","Jet"
"CENT","FOUND","100 Centennial","Piston"
"FBA2","FOUND","Bush Hawk","Piston"
"CENT","FOUND","Centennial","Piston"
"FBA2","FOUND","FBA-2","Piston"
"FBA2","FOUND","FBA-2 Bush Hawk","Piston"
"FBA2","FOUND","FBA-2 Expedition E350","Piston"
"FBA2","FOUND","Expedition E350","Piston"
"FW19","FOUR WINDS","192","Piston"
"FW21","FOUR WINDS","FX-210","Piston"
"RF3","FOURNIER","RF-3","Piston"
"RF4","FOURNIER","RF-4","Piston"
"RF5","FOURNIER","RF-5","Piston"
"RF6","FOURNIER","RF-6","Piston"
"RF9","FOURNIER","RF-9","Piston"
"RF10","FOURNIER","RF-10","Piston"
"RF47","FOURNIER","RF-47","Piston"
"RF5","FOURNIER","TZ-5","Piston"
"TERR","FOXCON","Terrier","Piston"
"G73T","FRAKES","G-73T Turbo Mallard","Turboprop/Turboshaft"
"G64T","FRAKES","G-164 Turbo Cat","Turboprop/Turboshaft"
"N262","FRAKES","Mohawk 298","Turboprop/Turboshaft"
"G64T","FRAKES","Turbo Cat","Turboprop/Turboshaft"
"G73T","FRAKES","Turbo Mallard","Turboprop/Turboshaft"
"FREE","FREE SPIRIT","Free Spirit","Piston"
"FREE","FREE SPIRIT","RC-412 Free Spirit","Piston"
"PHNX","FREEDOM","Phoenix","Piston"
"SHAK","FREEDOM MASTER","Air Shark","Piston"
"SHAK","FREEDOM MASTER","FM-2 Air Shark","Piston"
"FBIR","FREEWING","Freebird Mk5","Piston"
"FRON","FRONTIER","Frontier MD-2","Piston"
"VF2","FRY","Esprit","Piston"
"VF2","FRY","VF-2 Esprit","Piston"
"UH1","FUJI","204","Turboprop/Turboshaft"
"UH1","FUJI","205","Turboprop/Turboshaft"
"O1","FUJI","305 Bird Dog","Piston"
"SUBA","FUJI","Aero Subaru","Piston"
"HUCO","FUJI","AH-1 HueyCobra","Turboprop/Turboshaft"
"H64","FUJI","AH-64 Longbow Apache","Turboprop/Turboshaft"
"O1","FUJI","Bird Dog","Piston"
"SUBA","FUJI","FA-200 Aero Subaru","Piston"
"RC70","FUJI","FA-300","Piston"
"HUCO","FUJI","HueyCobra","Turboprop/Turboshaft"
"KM2","FUJI","KM-2","Piston"
"T34P","FUJI","KM-2B Mentor","Piston"
"T5","FUJI","KM-2D","Turboprop/Turboshaft"
"T5","FUJI","KM-2Kai","Turboprop/Turboshaft"
"O1","FUJI","L-19 Bird Dog","Piston"
"H64","FUJI","Longbow Apache","Turboprop/Turboshaft"
"T34P","FUJI","Mentor","Piston"
"T1","FUJI","T-1","Jet"
"T1","FUJI","T1F","Jet"
"T34P","FUJI","T-3 Mentor","Piston"
"T34T","FUJI","T-3Kai","Turboprop/Turboshaft"
"T5","FUJI","T-5","Turboprop/Turboshaft"
"T7","FUJI","T-7","Turboprop/Turboshaft"
"T34P","FUJI","T-34 Mentor","Piston"
"UH1","FUJI","UH-1","Turboprop/Turboshaft"
"KM2","FUJI","LM-1 Nikko","Piston"
"KM2","FUJI","LM-2 Nikko","Piston"
"KM2","FUJI","Nikko","Piston"
"FNKB","FUNK","B","Piston"
"G1","G1 AVIATION","G-1","Piston"
"G1","G1 AVIATION","G-1 Gélinotte","Piston"
"G1","G1 AVIATION","G-1 Goéland  ","Piston"
"G1","G1 AVIATION","G-1 Grive","Piston"
"G1","G1 AVIATION","G-1 Spyl","Piston"
"G1","G1 AVIATION","Gélinotte","Piston"
"G1","G1 AVIATION","Goéland","Piston"
"G1","G1 AVIATION","Grive","Piston"
"G1","G1 AVIATION","Spyl","Piston"
"NOMA","GAF","Floatmaster","Turboprop/Turboshaft"
"NOMA","GAF","Missionmaster","Turboprop/Turboshaft"
"NOMA","GAF","N-2 Nomad","Turboprop/Turboshaft"
"NOMA","GAF","N-22 Floatmaster","Turboprop/Turboshaft"
"NOMA","GAF","N-22 Missionmaster","Turboprop/Turboshaft"
"F18H","GAF","ATF-18 Hornet","Jet"
"NOMA","GAF","N-22 Nomad","Turboprop/Turboshaft"
"NOMA","GAF","N-22 Searchmaster","Turboprop/Turboshaft"
"NOMA","GAF","N-24 Nomad","Turboprop/Turboshaft"
"NOMA","GAF","Nomad","Turboprop/Turboshaft"
"NOMA","GAF","Searchmaster","Turboprop/Turboshaft"
"F18H","GAF","AF-18 Hornet","Jet"
"F18H","GAF","Hornet","Jet"
"FLCO","GALILEO","Falco","Piston"
"GB1","GAME COMPOSITES","GB-1 GameBird","Piston"
"GB1","GAME COMPOSITES","GameBird","Piston"
"G44","GANNET","G-44 Super Widgeon","Piston"
"G44","GANNET","Super Widgeon","Piston"
"GY10","GARDAN","Bagheera","Piston"
"GY80","GARDAN","GY-80 Horizon","Piston"
"GY10","GARDAN","GY-100 Bagheera","Piston"
"GY80","GARDAN","Horizon","Piston"
"CP30","GARLAND","Linnet","Piston"
"MEL2","GARRISON","Melmoth 2","Piston"
"AG02","GATARD","AG-02 Poussin","Piston"
"AG02","GATARD","Poussin","Piston"
"LJ24","GATES LEARJET","24","Jet"
"LJ25","GATES LEARJET","25","Jet"
"LJ28","GATES LEARJET","28","Jet"
"LJ28","GATES LEARJET","29","Jet"
"LJ31","GATES LEARJET","31","Jet"
"LJ35","GATES LEARJET","35","Jet"
"LJ35","GATES LEARJET","36","Jet"
"LJ55","GATES LEARJET","55","Jet"
"LJ35","GATES LEARJET","C-21","Jet"
"LJ35","GATES LEARJET","R-35","Jet"
"LJ35","GATES LEARJET","RC-35","Jet"
"LJ35","GATES LEARJET","RC-36","Jet"
"LJ35","GATES LEARJET","U-36","Jet"
"LJ35","GATES LEARJET","UC-35","Jet"
"LJ35","GATES LEARJET","UC-36","Jet"
"GAVI","GAVILAN","EL-1 Gavilan 358","Piston"
"GAVI","GAVILAN","Gavilan 358","Piston"
"G180","GENERAL AIRCRAFT","G1-80 Skyfarer","Piston"
"G180","GENERAL AIRCRAFT","Skyfarer","Piston"
"Q1","GENERAL ATOMICS","MQ-1 Predator","Piston"
"Q1","GENERAL ATOMICS","MQ-1 Warrior","Piston"
"Q1","GENERAL ATOMICS","RQ-1 Predator","Piston"
"Q1","GENERAL ATOMICS","MQ-1 Gray Eagle","Piston"
"Q1","GENERAL ATOMICS","Predator","Piston"
"Q1","GENERAL ATOMICS","Warrior","Piston"
"Q1","GENERAL ATOMICS","Grey Eagle","Piston"
"Q9","GENERAL ATOMICS","MQ-9 Reaper","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","MQ-9 Predator B","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","MQ-9 Guardian","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","MQ-9 Ikhana","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","Predator B","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","Reaper","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","Guardian","Turboprop/Turboshaft"
"Q9","GENERAL ATOMICS","Ikhana","Turboprop/Turboshaft"
"ARON","GENERAL AVIA","Airone","Piston"
"CNDR","GENERAL AVIA","Condor","Turboprop/Turboshaft"
"PICO","GENERAL AVIA","Delfino","Piston"
"PICO","GENERAL AVIA","F-15 Delfino","Piston"
"PICO","GENERAL AVIA","F-15 Picchio","Piston"
"PEGA","GENERAL AVIA","F-20 Pegaso","Piston"
"CNDR","GENERAL AVIA","F-20TP Condor","Turboprop/Turboshaft"
"PINO","GENERAL AVIA","F-22 Pinguino","Piston"
"PINO","GENERAL AVIA","F-22 Pinguino Sprint","Piston"
"ARON","GENERAL AVIA","F-220 Airone","Piston"
"PEGA","GENERAL AVIA","Pegaso","Piston"
"PICO","GENERAL AVIA","Picchio","Piston"
"PINO","GENERAL AVIA","Pinguino","Piston"
"PINO","GENERAL AVIA","Pinguino Sprint","Piston"
"F16","GENERAL DYNAMICS","Barak","Jet"
"F16","GENERAL DYNAMICS","Brakeet","Jet"
"F16","GENERAL DYNAMICS","F-16 Barak","Jet"
"F16","GENERAL DYNAMICS","F-16 Brakeet","Jet"
"F16","GENERAL DYNAMICS","F-16 Netz","Jet"
"F16","GENERAL DYNAMICS","Netz","Jet"
"F16","GENERAL DYNAMICS","NF-16 Fighting Falcon","Jet"
"F16","GENERAL DYNAMICS","TF-16 Fighting Falcon","Jet"
"F16","GENERAL DYNAMICS","F-16 Fighting Falcon","Jet"
"F16","GENERAL DYNAMICS","Fighting Falcon","Jet"
"TBM","GENERAL MOTORS","Avenger","Piston"
"WCAT","GENERAL MOTORS","FM Wildcat","Piston"
"TBM","GENERAL MOTORS","TBM Avenger","Piston"
"WCAT","GENERAL MOTORS","Wildcat","Piston"
"GPRO","GENEVATION","GenPro","Piston"
"M308","GERMAN BIANCO","MB-308","Piston"
"G200","GILES","G-200","Piston"
"G202","GILES","G-202","Piston"
"CP22","GILES","G-222","Piston"
"G300","GILES","G-300","Piston"
"GA10","GIPPSAERO","GA-10","Turboprop/Turboshaft"
"GA8","GIPPSAERO","GA-8 Airvan","Piston"
"GA8","GIPPSAERO","Airvan","Piston"
"GA8","GIPPSLAND","Airvan","Piston"
"GA20","GIPPSLAND","Fatman","Piston"
"GA8","GIPPSLAND","GA-8 Airvan","Piston"
"GA20","GIPPSLAND","GA-200 Fatman","Piston"
"GLST","GLASAIR","GlaStar","Piston"
"GLST","GLASAIR","Sportsman 2+2","Piston"
"GLAS","GLASAIR","Glasair","Piston"
"DG40","GLASER-DIRKS","DG-400","Piston"
"DG50","GLASER-DIRKS","DG-500M","Piston"
"DG60","GLASER-DIRKS","DG-600M","Piston"
"DG80","GLASER-DIRKS","DG-800","Piston"
"SG70","GLASS","SG-70 STOLGlass","Piston"
"SG70","GLASS","STOLGlass","Piston"
"SQ2T","GLASSIC","SQ-2000","Piston"
"UH1","GLOBAL","Huey 800","Turboprop/Turboshaft"
"GC1","GLOBE","GC-1 Swift","Piston"
"GC1","GLOBE","Swift","Piston"
"TOUR","GLOS AIR","Glos-Airtourer","Piston"
"GAUN","GLOSTER","Gauntlet","Piston"
"GLAD","GLOSTER","Gladiator","Piston"
"METR","GLOSTER","Meteor","Jet"
"PRET","GM&T","Pretty Flight","Piston"
"GOTR","GOAIR","GT-1 Trainer","Piston"
"GOTR","GOAIR","Trainer","Piston"
"AAT4","GOBOSH","G-700","Piston"
"VL3","GOBOSH","G-800","Piston"
"ONE","GOGETAIR ","G-600","Piston"
"ONE","GOGETAIR ","G-750T","Piston"
"F30","GOLDEN AVIO","F-30 Brio","Piston"
"F30","GOLDEN AVIO","Brio","Piston"
"F30","GOLDEN CAR","F-30 Brio","Piston"
"F30","GOLDEN CAR","Brio","Piston"
"TBR3","GOLDEN CIRCLE","T-Bird 2 Cargo","Piston"
"TBR3","GOLDEN CIRCLE","T-Bird 3","Piston"
"RF9","GOMOLZIG","RF-9","Piston"
"CORS","GOODYEAR","Corsair","Piston"
"CORS","GOODYEAR","FG Corsair","Piston"
"SPST","GÖTAVERKEN","GV-38","Piston"
"G2T1","GREAT LAKES","2T-1 Sport","Piston"
"G2T1","GREAT LAKES","2T-1 Sport Trainer","Piston"
"G2T1","GREAT LAKES","Sport","Piston"
"G2T1","GREAT LAKES","Sport Trainer","Piston"
"SRAI","GREAT PLAINS","Sonerai","Piston"
"CAMP","GREGA","Aircamper","Piston"
"CAMP","GREGA","GN-1 Aircamper","Piston"
"LION","GRIFFON","Lionheart","Piston"
"GRFN","GRIFFON AERO","Griffon","Piston"
"G800","GRINVALDS","G-801 Orion","Piston"
"G800","GRINVALDS","G-802 Orion","Piston"
"G800","GRINVALDS","Orion","Piston"
"G15T","GROB","Acro","Piston"
"G115","GROB","Bavarian","Piston"
"EGRT","GROB","D-500 Egrett 2","Turboprop/Turboshaft"
"EGRT","GROB","Egrett 2","Turboprop/Turboshaft"
"G103","GROB","G-103C Twin 3SL","Piston"
"G109","GROB","G-109","Piston"
"G109","GROB","G-109 Ranger","Piston"
"G109","GROB","G-109 Vigilant","Piston"
"G115","GROB","G-115","Piston"
"G115","GROB","G-115A","Piston"
"G115","GROB","G-115B","Piston"
"G115","GROB","G-115C","Piston"
"G115","GROB","G-115D","Piston"
"G115","GROB","G-115D Bavarian","Piston"
"G115","GROB","G-115D Heron","Piston"
"G115","GROB","G-115E","Piston"
"G115","GROB","G-115E Tutor","Piston"
"G15T","GROB","G-115T Acro","Piston"
"G120","GROB","G-120","Piston"
"G120","GROB","G-120 Snunit","Piston"
"G140","GROB","G-140TP","Turboprop/Turboshaft"
"G160","GROB","G-160 Ranger","Turboprop/Turboshaft"
"GSPN","GROB","G-180 SPn Utility Jet","Jet"
"EGRT","GROB","G-520 Strato 1","Turboprop/Turboshaft"
"GF20","GROB","GF-200","Piston"
"G115","GROB","Heron","Piston"
"G109","GROB","Ranger (G-109)","Piston"
"G160","GROB","Ranger (G-160)","Turboprop/Turboshaft"
"G120","GROB","Snunit","Piston"
"GSPN","GROB","SPn Utility Jet","Jet"
"EGRT","GROB","Strato 1","Turboprop/Turboshaft"
"G115","GROB","Tutor","Piston"
"G103","GROB","Twin 3SL","Piston"
"G109","GROB","Vigilant","Piston"
"G12T","GROB","G-120TP","Turboprop/Turboshaft"
"HAW3","GROEN","H2X Hawk 3","Piston"
"HAW3","GROEN","Hawk 3","Piston"
"HW4P","GROEN","Hawk 4","Piston"
"HW4T","GROEN","Jet Hawk 4T","Turboprop/Turboshaft"
"REV6","GROEN","Revcon 6G","Turboprop/Turboshaft"
"TRAL","GROPPO","Trail","Piston"
"G70","GROPPO","G-70","Piston"
"EAEA","GROSSO","Easy Eagle","Piston"
"WHIS","GROVE","GR-2 Whisper","Piston"
"WHIS","GROVE","Whisper","Piston"
"KTOO","GROVER","J-6 Karatoo","Piston"
"KTOO","GROVER","Karatoo","Piston"
"A6","GRUMMAN","A-6 Intruder","Jet"
"G159","GRUMMAN","Academe","Turboprop/Turboshaft"
"G164","GRUMMAN","Ag-Cat","Piston"
"U16","GRUMMAN","Albatross","Piston"
"V1","GRUMMAN","AO-1 Mohawk","Turboprop/Turboshaft"
"TBM","GRUMMAN","Avenger","Piston"
"BCAT","GRUMMAN","Bearcat","Piston"
"G96","GRUMMAN","C-1 Trader","Piston"
"C2","GRUMMAN","C-2 Greyhound","Turboprop/Turboshaft"
"GLF2","GRUMMAN","C-20J Gulfstream 2SP","Jet"
"E2","GRUMMAN","Daya","Turboprop/Turboshaft"
"E2","GRUMMAN","E-2 Daya","Turboprop/Turboshaft"
"E2","GRUMMAN","E-2 Hawkeye","Turboprop/Turboshaft"
"B703","GRUMMAN","E-8 J-Stars","Jet"
"A6","GRUMMAN","EA-6 Prowler","Jet"
"F3F","GRUMMAN","F3F Replica","Piston"
"WCAT","GRUMMAN","F4F Wildcat","Piston"
"HCAT","GRUMMAN","F6F Hellcat","Piston"
"TCAT","GRUMMAN","F7F Tigercat","Piston"
"BCAT","GRUMMAN","F8F Bearcat","Piston"
"F9F","GRUMMAN","F9F Panther","Jet"
"F14","GRUMMAN","F-14 Tomcat","Jet"
"F3F","GRUMMAN","G-11 Replica","Piston"
"G21","GRUMMAN","G-21A Goose","Piston"
"F3F","GRUMMAN","G-32 Replica","Piston"
"WCAT","GRUMMAN","G-36 Wildcat","Piston"
"G21","GRUMMAN","G-38 Goose","Piston"
"G21","GRUMMAN","G-39 Goose","Piston"
"TBM","GRUMMAN","G-40 Avenger","Piston"
"G44","GRUMMAN","G-44 Widgeon","Piston"
"HCAT","GRUMMAN","G-50 Hellcat","Piston"
"TCAT","GRUMMAN","G-51 Tigercat","Piston"
"BCAT","GRUMMAN","G-58 Bearcat","Piston"
"U16","GRUMMAN","G-64 Albatross","Piston"
"G73","GRUMMAN","G-73 Mallard","Piston"
"G73T","GRUMMAN","G-73T Turbo Mallard","Turboprop/Turboshaft"
"F9F","GRUMMAN","G-79 Panther","Jet"
"S2P","GRUMMAN","G-89 Tracker","Piston"
"G96","GRUMMAN","G-96 Trader","Piston"
"U16","GRUMMAN","G-111 Albatross","Piston"
"A6","GRUMMAN","G-128 Intruder","Jet"
"A6","GRUMMAN","G-128 Prowler","Jet"
"V1","GRUMMAN","G-134 Mohawk","Turboprop/Turboshaft"
"G159","GRUMMAN","G-159 Gulfstream 1","Turboprop/Turboshaft"
"G164","GRUMMAN","G-164 Ag-Cat","Piston"
"G164","GRUMMAN","G-164 Super Ag-Cat","Piston"
"G64T","GRUMMAN","G-164 Turbo Ag-Cat","Turboprop/Turboshaft"
"GLF2","GRUMMAN","G-1159 Gulfstream 2","Jet"
"GLF2","GRUMMAN","G-1159 Gulfstream 2SP","Jet"
"GLF2","GRUMMAN","G-1159B Gulfstream 2B","Jet"
"G21","GRUMMAN","Goose","Piston"
"C2","GRUMMAN","Greyhound","Turboprop/Turboshaft"
"G159","GRUMMAN","Gulfstream 1","Turboprop/Turboshaft"
"GLF2","GRUMMAN","Gulfstream 2","Jet"
"GLF2","GRUMMAN","Gulfstream 2B","Jet"
"GLF2","GRUMMAN","Gulfstream 2SP","Jet"
"E2","GRUMMAN","Hawkeye","Turboprop/Turboshaft"
"HCAT","GRUMMAN","Hellcat","Piston"
"U16","GRUMMAN","HU-16 Albatross","Piston"
"A6","GRUMMAN","Intruder","Jet"
"G44","GRUMMAN","J4F Widgeon","Piston"
"G21","GRUMMAN","JRF Goose","Piston"
"B703","GRUMMAN","J-Stars","Jet"
"A6","GRUMMAN","KA-6 Intruder","Jet"
"G73","GRUMMAN","Mallard","Piston"
"V1","GRUMMAN","Mohawk","Turboprop/Turboshaft"
"V1","GRUMMAN","OV-1 Mohawk","Turboprop/Turboshaft"
"S2P","GRUMMAN","P-16 Tracker","Piston"
"F9F","GRUMMAN","Panther","Jet"
"A6","GRUMMAN","Prowler","Jet"
"V1","GRUMMAN","RV-1 Mohawk","Turboprop/Turboshaft"
"S2P","GRUMMAN","S-2 Tracker","Piston"
"S2T","GRUMMAN","S-2 Turbo Tracker","Turboprop/Turboshaft"
"S2P","GRUMMAN","S2F Tracker","Piston"
"U16","GRUMMAN","SA-16 Albatross","Piston"
"G164","GRUMMAN","Super Ag-Cat","Piston"
"TBM","GRUMMAN","TBF Avenger","Piston"
"G159","GRUMMAN","TC-4 Academe","Turboprop/Turboshaft"
"E2","GRUMMAN","TE-2 Hawkeye","Turboprop/Turboshaft"
"G96","GRUMMAN","TF Trader","Piston"
"TCAT","GRUMMAN","Tigercat","Piston"
"F14","GRUMMAN","Tomcat","Jet"
"S2P","GRUMMAN","Tracker","Piston"
"G96","GRUMMAN","Trader","Piston"
"G64T","GRUMMAN","Turbo Ag-Cat","Turboprop/Turboshaft"
"G73T","GRUMMAN","Turbo Mallard","Turboprop/Turboshaft"
"S2T","GRUMMAN","Turbo Tracker","Turboprop/Turboshaft"
"U16","GRUMMAN","UF Albatross","Piston"
"G159","GRUMMAN","VC-4 Gulfstream 1","Turboprop/Turboshaft"
"GLF2","GRUMMAN","VC-11 Gulfstream 2","Jet"
"G44","GRUMMAN","Widgeon","Piston"
"WCAT","GRUMMAN","Wildcat","Piston"
"AA1","GRUMMAN AMERICAN","AA-1 Lynx","Piston"
"AA1","GRUMMAN AMERICAN","AA-1 T-Cat","Piston"
"AA1","GRUMMAN AMERICAN","AA-1 Tr2","Piston"
"AA1","GRUMMAN AMERICAN","AA-1 Trainer","Piston"
"AA5","GRUMMAN AMERICAN","AA-5 Cheetah","Piston"
"AA5","GRUMMAN AMERICAN","AA-5 Tiger","Piston"
"AA5","GRUMMAN AMERICAN","AA-5 Traveler","Piston"
"G164","GRUMMAN AMERICAN","Ag-Cat","Piston"
"AA5","GRUMMAN AMERICAN","Cheetah","Piston"
"GA7","GRUMMAN AMERICAN","Cougar","Piston"
"G164","GRUMMAN AMERICAN","G-164 Ag-Cat","Piston"
"G164","GRUMMAN AMERICAN","G-164 Super Ag-Cat","Piston"
"G64T","GRUMMAN AMERICAN","G-164 Turbo Ag-Cat","Turboprop/Turboshaft"
"GLF2","GRUMMAN AMERICAN","G-1159 Gulfstream 2","Jet"
"GLF2","GRUMMAN AMERICAN","G-1159 Gulfstream 2SP","Jet"
"GLF2","GRUMMAN AMERICAN","G-1159B Gulfstream 2B","Jet"
"GLF2","GRUMMAN AMERICAN","G-1159TT Gulfstream 2TT","Jet"
"GA7","GRUMMAN AMERICAN","GA-7 Cougar","Piston"
"GLF2","GRUMMAN AMERICAN","Gulfstream 2","Jet"
"GLF2","GRUMMAN AMERICAN","Gulfstream 2B","Jet"
"GLF2","GRUMMAN AMERICAN","Gulfstream 2SP","Jet"
"GLF2","GRUMMAN AMERICAN","Gulfstream 2TT","Jet"
"AA1","GRUMMAN AMERICAN","Lynx","Piston"
"G164","GRUMMAN AMERICAN","Super Ag-Cat","Piston"
"AA1","GRUMMAN AMERICAN","T-Cat","Piston"
"AA5","GRUMMAN AMERICAN","Tiger","Piston"
"AA1","GRUMMAN AMERICAN","Tr2","Piston"
"AA1","GRUMMAN AMERICAN","Trainer","Piston"
"AA5","GRUMMAN AMERICAN","Traveler","Piston"
"G64T","GRUMMAN AMERICAN","Turbo Ag-Cat","Turboprop/Turboshaft"
"MD3R","GRYF","MD-3 Rider","Piston"
"MD3R","GRYF","MD-3 SportRider","Piston"
"MD3R","GRYF","Rider","Piston"
"MD3R","GRYF","SportRider","Piston"
"P27","GRYF","P-27 Skyster","Piston"
"P27","GRYF","Skyster","Piston"
"G1","GUERIN","G-1","Piston"
"G2CA","GUIMBAL","Cabri","Piston"
"G2CA","GUIMBAL","G-2 Cabri","Piston"
"MG19","GUIZHOU","F-6","Jet"
"MG21","GUIZHOU","FT-7","Jet"
"JL9","GUIZHOU","FTC-2000 Shanying","Jet"
"MG19","GUIZHOU","J-6","Jet"
"MG21","GUIZHOU","JJ-7","Jet"
"JL9","GUIZHOU","JL-9 Shanying","Jet"
"JL9","GUIZHOU","Shanying","Jet"
"AC90","GULFSTREAM AEROSPACE","690 Jetprop Commander 840","Turboprop/Turboshaft"
"AC90","GULFSTREAM AEROSPACE","690 Jetprop Commander 900","Turboprop/Turboshaft"
"AC95","GULFSTREAM AEROSPACE","695 Jetprop Commander 980","Turboprop/Turboshaft"
"AC95","GULFSTREAM AEROSPACE","695 Jetprop Commander 1000","Turboprop/Turboshaft"
"GLF3","GULFSTREAM AEROSPACE","C-20A Gulfstream 3","Jet"
"GLF3","GULFSTREAM AEROSPACE","C-20B Gulfstream 3","Jet"
